x,y,z
-0.073,0.0657676,0.0195937
-0.042,0.122037,0.026751
-0.02225,0.167415,-0.0114259
-0.05075,0.0635123,0.0341927
0.0235,0.120754,0.029924
-0.092,0.126937,0.0398261
-0.0325,0.0774691,0.0411858
-0.0375,0.126119,0.020775
-0.08175,0.142109,0.0442432
-0.06625,0.123816,0.0506091
-0.0795,0.124571,0.0520439
-0.0405,0.0930558,0.0424741
-0.0155,0.0587846,0.0517395
-0.08575,0.118117,0.0485733
-0.06575,0.0924413,0.043746
-0.056,0.138095,0.0311711
-0.00525,0.125862,0.0315718
0.02925,0.0910282,0.0437448
0.03625,0.054884,0.0322906
-0.05175,0.10082,0.0422268
-0.02975,0.0994987,0.0436247
-0.089,0.148079,0.0272194
-0.03425,0.121362,0.0276388
0.043,0.0663844,0.0267029
-0.0845,0.108966,0.0239307
-0.0825,0.144166,0.0414459
0.02675,0.111738,0.0349927
-0.02,0.168165,-0.0129132
-0.0575,0.081926,0.0442428
-0.01275,0.103747,0.0437554
-0.044,0.127508,0.019249
-0.0395,0.16824,0.00274963
-0.05925,0.0911511,0.0453992
0.02975,0.0418082,0.0297701
0.01975,0.0913495,0.0480717
0.00575,0.0890189,0.0556242
0.036,0.071551,0.0376232
-0.0365,0.105571,0.0389256
-0.02775,0.156974,-0.000739157
-0.055,0.148093,0.0277272
0.039,0.100636,0.028492
0.0245,0.0679482,0.0447301
-0.01775,0.170431,-0.0156201
0.0085,0.127885,0.0282662
-0.0485,0.0490634,0.0381249
0.057,0.0561873,0.0234155
-0.0395,0.101445,0.0409557
-0.042,0.107028,0.0395629
0.02325,0.120081,0.0308121
-0.03075,0.10635,0.0400707
0.03075,0.0755212,0.0430898
-0.0765,0.168092,-0.0283059
-0.0845,0.11453,0.0471956
-0.02925,0.176489,-0.00537058
-0.043,0.0619665,0.0405353
-0.05775,0.0724901,0.0404184
0.014,0.123718,0.0319564
-0.00975,0.0681437,0.0552343
0.04225,0.0926397,0.0268242
-0.05525,0.15172,0.0283564
-0.01975,0.170434,-0.0145398
0.035,0.107849,0.0293943
-0.07375,0.13939,0.0483046
-0.0765,0.124589,0.0526423
-0.03975,0.168987,0.0023432
-0.06475,0.0979901,0.0422242
0.0395,0.0740037,0.0333043
0.00675,0.131158,0.019625
0.00775,0.0723808,0.05608
0.02375,0.0574577,0.0449675
-0.044,0.171223,-0.00211748
0.0015,0.0647956,0.056669
-0.009,0.0898013,0.0569421
-0.00475,0.0998879,0.0497605
0.0235,0.0596408,0.0458585
-0.0355,0.0860431,0.0431036
-0.02575,0.069953,0.0435904
-0.07,0.0859736,0.0422127
0.0225,0.0652787,0.0462487
-0.064,0.074576,0.0401663
-0.019,0.168163,-0.0134533
-0.07075,0.0866358,0.0417045
-0.04725,0.0938545,0.0437472
-0.015,0.0938546,0.0546678
0.054,0.0504883,0.023043
-0.01925,0.0679309,0.052715
-0.04425,0.0966103,0.0427318
-0.03875,0.0993712,0.0417168
0.038,0.100727,0.029891
-0.0635,0.0775108,0.0416943
0.04675,0.0670802,0.0265754
0.01525,0.0607232,0.0500628
-0.0095,0.127837,0.0271232
0.0085,0.0799575,0.055252
0.0035,0.042735,0.0457485
-0.02125,0.0455713,0.0527139
-0.00125,0.0421599,0.0470187
-0.02275,0.0848302,0.0553792
-0.02925,0.104987,0.0409592
-0.04675,0.121356,0.0275118
-0.02075,0.118809,0.0339859
-0.0285,0.0876529,0.0457785
0.01225,0.123056,0.0332277
-0.042,0.126092,0.02014
-0.0695,0.159149,-0.006276
-0.0125,0.0404338,0.0506878
0.00575,0.101087,0.0462968
0.00725,0.0984298,0.0488018
0.019,0.0641101,0.0488694
-0.00875,0.0794653,0.0580079
-0.04775,0.10082,0.0422268
-0.03325,0.10906,0.0379126
-0.086,0.0934022,0.0274617
-0.0585,0.0747349,0.0420723
-0.01375,0.0995752,0.0447695
-0.0405,0.0676949,0.0418102
-0.02425,0.126608,0.0151858
-0.01775,0.0890419,0.0559835
-0.004,0.104477,0.0441375
-0.08675,0.106455,0.0179512
-0.00575,0.127217,0.0295374
0.017,0.0585381,0.0490985
-0.01925,0.105105,0.0428666
-0.0615,0.0775525,0.0422027
-0.05475,0.0407223,0.0467693
0.02125,0.0501273,0.041798
-0.0105,0.1128,0.0413483
-0.07425,0.15839,-0.00667908
0.02975,0.0613439,0.0414225
-0.01025,0.0464815,0.0478933
0.0255,0.080842,0.048183
-0.084,0.113058,0.0460508
0.00625,0.127212,0.0294104
-0.07825,0.101712,0.0340889
-0.029,0.082038,0.045642
-0.05125,0.13021,0.0321998
0.02375,0.0559974,0.0443316
0.011,0.0840777,0.0545394
-0.05825,0.111809,0.0362637
0.0315,0.0408832,0.0277422
-0.06825,0.159874,-0.00884195
0.01525,0.0375733,0.043733
-0.044,0.0789664,0.0423316
-0.06625,0.167325,-0.0284382
0.02075,0.117415,0.0346192
-0.0775,0.0735798,0.0282215
0.0385,0.0583284,0.0314025
-0.01875,0.185626,-0.0164744
-0.00525,0.112134,0.0421102
0.0255,0.112457,0.0351207
-0.01675,0.0890572,0.0562231
-0.0895,0.143803,0.0292574
-0.07775,0.168839,-0.0331697
-0.07275,0.0793383,0.0382634
-0.049,0.0974049,0.0440046
-0.0185,0.0772141,0.0557274
0.01825,0.0762817,0.0526092
-0.07275,0.171914,-0.0349372
-0.06375,0.0938728,0.0440017
-0.007,0.123816,0.0341156
-0.0195,0.0486578,0.0485005
0.04125,0.0716324,0.0302555
-0.089,0.129961,0.043758
-0.0495,0.126599,0.0319517
0.034,0.0914911,0.0404367
-0.044,0.102911,0.0417202
0.00625,0.129909,0.024707
-0.0045,0.0828717,0.0571736
0.0355,0.088579,0.0394156
0.029,0.0945249,0.0432388
0.0005,0.0562722,0.0546162
0.0285,0.0833584,0.0446265
-0.03175,0.0624766,0.0383792
0.02225,0.0516169,0.0425546
-0.016,0.101643,0.0440081
-0.0665,0.101462,0.0412101
-0.0245,0.107127,0.0412157
0.00875,0.0681336,0.0551143
-0.00875,0.116261,0.039827
-0.04625,0.0896342,0.0439982
-0.05075,0.0548723,0.0321639
0.00975,0.120338,0.0361475
-0.04975,0.141104,0.0122469
0.03775,0.0861709,0.0357225
-0.03725,0.118652,0.0308098
-0.02525,0.158455,-0.00141621
-0.093,0.115915,0.0192438
0.01025,0.121713,0.0351332
-0.012,0.175754,-0.0221193
-0.02975,0.155495,-0.000872411
-0.07625,0.109333,0.0426161
-0.032,0.160713,-0.0010159
-0.01425,0.0890955,0.056822
0.052,0.0457185,0.0184837
-0.08375,0.151747,0.0294988
0.00375,0.0654582,0.05631
-0.0395,0.0606076,0.0410413
-0.03425,0.0768089,0.0416935
-0.06975,0.0979295,0.0413338
-0.01725,0.0890572,0.0562231
0.00575,0.0540448,0.053172
0.039,0.0554956,0.0312764
-0.017,0.0616174,0.0522244
-0.00525,0.103763,0.0440098
-0.05225,0.133061,0.0314332
-0.076,0.0856855,0.038522
-0.01575,0.106496,0.0424864
-0.0645,0.112625,0.038171
-0.003,0.0633863,0.056427
-0.0725,0.117573,0.0528817
-0.015,0.0870175,0.0569397
-0.02,0.103016,0.0433734
0.02425,0.0913023,0.0474354
0.0245,0.0581121,0.0444615
0.05075,0.0469102,0.0232991
-0.07925,0.125294,0.0525213
-0.033,0.053231,0.0372327
-0.07225,0.173453,-0.038455
-0.071,0.178871,-0.0497145
-0.07375,0.156003,0.0259379
-0.0535,0.0702421,0.0387654
-0.00375,0.0668569,0.0564319
0.0425,0.0453019,0.028878
-0.0095,0.0403308,0.0497274
0.0485,0.0568946,0.0311493
0.0415,0.089216,0.0289812
-0.079,0.137286,0.0497458
0.03825,0.0561893,0.0311495
-0.08275,0.140699,0.0447538
0.04025,0.0617192,0.0298791
-0.0525,0.0466085,0.0420604
-0.0585,0.146791,0.0329346
-0.041,0.15191,0.0052038
0.025,0.100163,0.0429894
0.05025,0.0684395,0.0259391
0.02175,0.0485988,0.040661
0.05125,0.0531081,0.0283624
-0.04875,0.139638,0.0121217
-0.05725,0.138846,0.0320588
-0.0785,0.103794,0.0332018
-0.0375,0.0662801,0.0416817
0.052,0.0491802,0.0244378
-0.04275,0.11999,0.0289066
0.017,0.0656437,0.0504319
-0.01475,0.0918367,0.0559845
-0.0205,0.0828465,0.0568141
-0.06,0.118401,0.0400834
-0.03475,0.106273,0.0387992
0.01925,0.0858684,0.0501097
-0.04075,0.170481,0.00112508
-0.06675,0.0641414,0.0253088
-0.08875,0.134863,0.0412089
0.002,0.0547879,0.0536534
0.045,0.0541908,0.0324175
-0.01275,0.0737884,0.0563219
-0.0605,0.0716802,0.0391475
-0.04275,0.16003,0.0050587
-0.0205,0.127348,0.0154389
0.0155,0.0839048,0.052023
0.0265,0.0973612,0.0433685
0.02975,0.0839488,0.0432281
-0.00575,0.0821696,0.0570528
-0.02875,0.0710422,0.039909
-0.057,0.091866,0.045527
0.0135,0.0499451,0.0472488
-0.04525,0.100812,0.0420997
0.01175,0.0943571,0.0513146
-0.082,0.115997,0.0483327
-0.00675,0.0409453,0.0488848
-0.03375,0.0436617,0.047902
-0.069,0.0930374,0.0422196
0.038,0.0554839,0.0311497
-0.06725,0.109038,0.0375312
0.01975,0.0775944,0.0515326
-0.0235,0.104398,0.0428659
-0.01175,0.0510003,0.0507755
-0.0405,0.0437483,0.041814
0.01975,0.0445467,0.0426997
0.01525,0.117493,0.0361439
-0.07025,0.100679,0.0400647
0.018,0.082502,0.0519008
0.01375,0.10253,0.0468065
-0.0765,0.0812947,0.0363569
-0.03875,0.0641631,0.0415524
-0.01775,0.11339,0.0391885
-0.07375,0.082191,0.0387741
0.041,0.0637695,0.0291167
-0.01775,0.1629,-0.00844446
-0.08325,0.14484,0.040048
-0.00625,0.116254,0.0396999
-0.051,0.0399632,0.046264
0.05075,0.0617192,0.0298791
-0.05675,0.049877,0.00897848
-0.0035,0.0925354,0.0559848
-0.07275,0.126715,0.0526385
0.01,0.0546826,0.0525727
-0.00575,0.0480635,0.0495833
0.03725,0.0806217,0.0367381
0.02875,0.0993457,0.0413352
-0.039,0.0381998,0.0429699
-0.0115,0.122384,0.034245
-0.00425,0.0422649,0.0480332
-0.0065,0.0647535,0.056189
-0.044,0.0930834,0.0428559
-0.03525,0.117261,0.0315699
-0.069,0.105524,0.0381627
-0.0675,0.174207,-0.0465619
-0.01075,0.0597378,0.0545015
-0.0255,0.0782118,0.050455
-0.05425,0.0393513,0.047154
-0.008,0.0647324,0.055949
-0.03,0.160716,-0.000745989
-0.02975,0.118614,0.0300476
-0.01625,0.0609533,0.0525833
-0.00975,0.168896,-0.0193966
-0.075,0.133073,0.0517892
-0.021,0.175746,-0.01523
-0.02025,0.0468654,0.051629
-0.02175,0.0493137,0.0480113
-0.0275,0.0631458,0.0379991
-0.05275,0.16301,0.00397389
0.0425,0.0806634,0.0284709
-0.00225,0.128576,0.0275031
-0.00725,0.112127,0.0419831
0.04725,0.0576578,0.031783
-0.0205,0.159168,-0.00465659
-0.012,0.104437,0.0435017
0.00775,0.0667436,0.0551122
-0.0155,0.0631078,0.0533069
-0.0595,0.151149,0.0345778
0.00775,0.12312,0.0346249
-0.03825,0.0669931,0.0418094
0.02975,0.064208,0.04206
0.01425,0.0764097,0.0542877
-0.0635,0.0847403,0.0443742
-0.03875,0.159994,0.00181972
-0.06125,0.107707,0.0390551
-0.0215,0.052528,0.0447065
-0.079,0.128858,0.0532333
0.0085,0.0869464,0.0558615
-0.0595,0.0701987,0.0382574
0.04775,0.0696808,0.0239055
0.01075,0.0736653,0.054763
0.03875,0.0733841,0.0343208
-0.0655,0.078925,0.041823
0.0115,0.125136,0.031446
-0.00175,0.0821951,0.0574123
0.036,0.0800311,0.0381367
-0.0525,0.0833786,0.044881
-0.0035,0.0387134,0.0477904
0.03325,0.0522423,0.0341915
0.02175,0.0899739,0.0485576
-0.01625,0.0982758,0.0464221
-0.0765,0.0927518,0.038275
-0.0365,0.0399499,0.0461372
-0.0345,0.112443,0.0348665
-0.07,0.169628,-0.0276362
-0.03525,0.0768194,0.0418206
-0.0655,0.0651482,0.0287351
-0.02175,0.051797,0.044455
-0.00825,0.0808428,0.0578899
-0.0405,0.0747773,0.0425806
-0.01925,0.102317,0.0434999
0.029,0.0411049,0.0298979
-0.019,0.0757787,0.0551259
-0.0595,0.121285,0.0411026
-0.017,0.177272,-0.0184766
-0.059,0.141038,0.033071
0.029,0.0503889,0.0371082
-0.04825,0.151299,0.0105842
-0.04125,0.0909337,0.0424722
-0.0295,0.16518,-0.00642499
0.007,0.0660693,0.0553511
0.008,0.0869543,0.0559813
-0.06475,0.0854513,0.0445025
-0.0405,0.0478273,0.040029
0.0175,0.10715,0.0415971
-0.0095,0.168136,-0.0191243
0.02,0.0452295,0.0424443
-0.00975,0.100962,0.044389
0.02075,0.0817284,0.050821
0.04475,0.0562824,0.0321636
-0.05675,0.10773,0.0394365
0.0145,0.0867013,0.0521476
-0.088,0.127221,0.0464305
-0.042,0.0634274,0.041171
0.04,0.0527572,0.0321642
-0.0115,0.0702384,0.0553574
-0.04725,0.0754684,0.0424544
-0.07275,0.121101,0.0536012
0.04775,0.0671021,0.0268293
-0.0825,0.12308,0.0497727
0.00025,0.0407223,0.0467693
0.052,0.0690815,0.0251764
-0.051,0.125226,0.0334782
-0.00575,0.0380753,0.0484133
-0.02975,0.122575,0.0226853
0.03575,0.0878404,0.039033
-0.03525,0.0867149,0.0427227
-0.03275,0.0437631,0.048876
-0.06075,0.140377,0.0348499
-0.018,0.120899,0.0329728
0.00375,0.131054,0.0169582
0.037,0.0512875,0.0315311
-0.0405,0.109733,0.0372779
-0.03,0.169699,-0.00778587
-0.04325,0.0555403,0.0393885
-0.0275,0.0574396,0.0371081
0.00125,0.103747,0.0437554
-0.007,0.0952607,0.0547881
-0.019,0.0474578,0.0505461
-0.0335,0.126054,0.019251
-0.0445,0.115212,0.0333456
-0.0415,0.165256,0.00424001
-0.053,0.089015,0.0451431
0.02575,0.0912267,0.0464173
0.05525,0.0696159,0.0231434
-0.002,0.057606,0.0540181
-0.02725,0.158472,-6.67423e-05
-0.0235,0.156172,-0.0051913
0.02675,0.0643875,0.0440903
-0.00875,0.0724868,0.0573992
-0.07,0.075802,0.0380069
0.01175,0.0902967,0.0537082
-0.04525,0.0909715,0.0429813
0.02625,0.054312,0.0412882
-0.026,0.10161,0.0434993
0.00675,0.0984364,0.0489215
0.028,0.083419,0.0453898
-0.04575,0.079699,0.0427139
0.05925,0.0580472,0.0204958
-0.05125,0.125956,0.033731
-0.0285,0.180263,-0.00686543
0.03175,0.115543,0.0259767
0.0185,0.113984,0.0370289
-0.0445,0.0438642,0.0429551
-0.04275,0.109089,0.0384211
-0.009,0.0731707,0.0572802
-0.046,0.0804314,0.0430963
-0.05675,0.048543,0.0101207
0.0525,0.0552503,0.0286145
-0.05525,0.154267,0.0124848
-0.066,0.128688,0.0474438
-0.046,0.0561262,0.0381214
0.00075,0.0849688,0.0574161
-0.05,0.122319,0.0328478
-0.06125,0.149045,0.0366127
-0.004,0.0979258,0.0523941
0.00725,0.103795,0.0445184
-0.07325,0.13798,0.0489062
-0.08675,0.129415,0.0478234
-0.00625,0.0450332,0.0475173
0.02325,0.0954741,0.0466746
-0.04025,0.102129,0.0405749
-0.079,0.081091,0.033813
-0.03975,0.0641631,0.0415524
-0.063,0.142622,0.0377665
-0.007,0.0547411,0.0531731
-0.07425,0.0949895,0.0398043
-0.02425,0.0614008,0.0420567
-0.03575,0.0980421,0.0429875
0.01675,0.0606684,0.0494627
-0.0565,0.13531,0.0338425
-0.04825,0.131422,0.0263557
0.00425,0.121719,0.0352602
-0.0705,0.0390053,0.00948234
-0.04425,0.10361,0.0415937
-0.0155,0.111369,0.0410927
-0.00425,0.106588,0.0440121
-0.03975,0.0726295,0.0420699
0.01225,0.0970365,0.0490405
-0.06175,0.138948,0.0351062
-0.0405,0.0662801,0.0416817
-0.05125,0.072533,0.0409265
0.02425,0.0428192,0.0396603
0.01475,0.0665067,0.0523528
-0.06825,0.181217,-0.0545678
0.01625,0.046039,0.0434566
-0.0315,0.102927,0.0419745
-0.074,0.0914911,0.0404367
0.03175,0.0401,0.027109
-0.051,0.154963,0.0108337
-0.02925,0.0623974,0.0374912
-0.0695,0.071325,0.0349557
0.03525,0.0808364,0.0394089
-0.04725,0.154202,0.00943831
-0.0825,0.128822,0.0519166
0.03875,0.0506203,0.0320389
-0.05675,0.0379268,0.0470314
0.00125,0.11766,0.0394474
0.009,0.123804,0.0338616
0.0115,0.0588182,0.0520996
-0.0545,0.0480199,0.0122743
-0.016,0.103016,0.0433734
0.0565,0.0501543,0.0194958
0.021,0.107059,0.0400714
-0.06025,0.043221,0.0435909
-0.0225,0.0813731,0.0556137
-0.0685,0.178872,-0.0514248
-0.087,0.114441,0.0455435
-0.067,0.0365967,0.0143007
-0.08425,0.140657,0.043484
0.02825,0.110328,0.035245
-0.0205,0.0988521,0.0445145
-0.07625,0.178092,-0.0478589
-0.02575,0.0758695,0.0472836
0.018,0.0934428,0.0478185
-0.06,0.0716909,0.0392745
-0.0155,0.0545071,0.0507715
-0.05475,0.0420812,0.0462578
-0.016,0.111355,0.0408385
-0.0745,0.0998265,0.0379017
-0.0735,0.113226,0.0494084
-0.0725,0.137271,0.0490273
-0.07225,0.159892,-0.00722245
-0.07625,0.165821,-0.0238425
-0.05875,0.0724901,0.0404184
-0.04125,0.0471549,0.0404109
0.00125,0.127228,0.0297914
-0.054,0.154995,0.012357
0.01175,0.116136,0.0374127
-0.03075,0.109074,0.0381668
0.008,0.0716767,0.0559591
0.0345,0.0900642,0.040308
0.012,0.0587622,0.0514994
0.017,0.112625,0.038171
-0.08175,0.091605,0.0322934
0.0315,0.0888503,0.0429794
0.0155,0.0585717,0.0494587
0.00475,0.0792979,0.0557305
-0.0315,0.104294,0.0412129
0.01125,0.0833656,0.0542986
-0.0415,0.163762,0.00451255
-0.014,0.118261,0.0372883
-0.05525,0.070999,0.039401
-0.01975,0.0693342,0.0528373
0.0425,0.073601,0.0284756
-0.04975,0.091066,0.0442539
-0.0305,0.0445804,0.0499544
0.0115,0.0426568,0.0449877
-0.0575,0.0889763,0.044634
-0.0865,0.139885,0.0417077
-0.0365,0.112443,0.0348665
0.02775,0.0869127,0.0452682
0.0085,0.0991073,0.0483231
-0.04525,0.15562,0.00715181
-0.0455,0.0369478,0.0444961
-0.0835,0.117426,0.0489319
0.048,0.0496032,0.0288725
0.01025,0.0943853,0.0517936
-0.04375,0.090962,0.042854
-0.01425,0.0751861,0.0564437
-0.02875,0.104995,0.0410864
-0.0355,0.117956,0.0311898
-0.015,0.184911,-0.0220136
-0.0575,0.156404,0.00968961
0.0145,0.123701,0.0315753
0.04,0.0710989,0.0322882
0.04375,0.0476128,0.0305227
-0.08275,0.100036,0.0302714
-0.0765,0.133082,0.0521484
0.00175,0.107926,0.0427419
0.01525,0.0475169,0.0440865
-0.07975,0.107224,0.0309187
-0.0135,0.0659344,0.0537914
0.00075,0.131064,0.0172121
-0.055,0.0805751,0.0448766
-0.07325,0.179649,-0.0495747
-0.03025,0.0538635,0.0364727
-0.0085,0.0674794,0.0555931
-0.02025,0.0481247,0.0501837
-0.005,0.0828633,0.0570538
-0.055,0.116762,0.0357618
-0.02675,0.123929,0.0205241
-0.03125,0.0738948,0.0404197
-0.0195,0.180308,-0.0165941
-0.059,0.065581,0.0336853
-0.09475,0.122609,0.0234474
0.024,0.050691,0.0402758
-0.0525,0.112499,0.0358833
-0.04525,0.0653888,0.0395233
-0.0115,0.0759356,0.0571641
0.0075,0.130502,0.021404
-0.03575,0.122755,0.0266229
-0.083,0.104901,0.0279908
-0.027,0.111155,0.0372796
-0.04275,0.0598252,0.0401528
-0.02,0.175747,-0.0160405
-0.00075,0.0849688,0.0574161
-0.04375,0.148247,0.00574755
-0.02725,0.0939459,0.0450196
-0.044,0.0438385,0.0427015
0.04975,0.0657881,0.027973
0.0345,0.0843998,0.040048
0.00825,0.12312,0.0346249
-0.03175,0.159991,0.00154981
-0.0285,0.0602533,0.0371095
-0.075,0.135884,0.0505867
-0.043,0.123374,0.0243355
-0.03825,0.107624,0.0376566
0.00825,0.0639741,0.055228
-0.07425,0.128133,0.052636
-0.07175,0.176538,-0.0457152
0.02725,0.102104,0.0401934
-0.03425,0.114499,0.0333445
0.00675,0.0449308,0.0465031
-0.061,0.0746819,0.041437
-0.00525,0.0711293,0.0577572
0.013,0.120983,0.0347511
-0.03975,0.0613211,0.0411688
0.04175,0.0643864,0.0281009
-0.00175,0.097265,0.0531123
-0.0295,0.104302,0.04134
-0.02825,0.0869918,0.0462865
-0.01075,0.052479,0.0514917
-0.01625,0.170429,-0.0162954
-0.0215,0.16968,-0.0131873
0.02075,0.0416351,0.0419462
-0.0435,0.0576715,0.0396437
0.02275,0.058998,0.0464913
0.0175,0.0542259,0.0478764
-0.03025,0.0767356,0.0408037
0.007,0.118293,0.0379235
-0.0355,0.175734,-0.00374787
-0.07475,0.112493,0.0486898
0.0145,0.0658202,0.0524716
-0.03475,0.089615,0.0437436
-0.06625,0.113749,0.0457971
-0.03475,0.0796475,0.0420781
0.0205,0.0782652,0.0511742
-0.06225,0.0768194,0.0418206
0.0275,0.0848705,0.0460283
-0.0025,0.0675612,0.0565529
-0.0635,0.0818954,0.0438612
-0.07525,0.0820998,0.0376292
0.02525,0.0410709,0.0364932
0.052,0.0703777,0.0237776
0.0375,0.0454778,0.0306525
-0.01875,0.0835903,0.057534
0.05475,0.060114,0.0277234
0.02475,0.120008,0.0292877
-0.0505,0.100155,0.0428622
-0.01375,0.0580986,0.0518583
0.00875,0.116188,0.0384293
0.021,0.0975971,0.0468032
-0.04025,0.168987,0.00247823
0.0225,0.115285,0.0347434
-0.00775,0.0450716,0.0478977
0.0485,0.0554722,0.0310229
0.061,0.0641385,0.0171846
-0.054,0.108417,0.0390559
-0.031,0.120627,0.0272564
-0.00825,0.170408,-0.0233175
0.006,0.0991008,0.0482034
0.0145,0.11266,0.0388065
-0.091,0.139167,0.019995
-0.08675,0.140571,0.0408176
-0.03775,0.111766,0.0355011
0.01525,0.0550191,0.0488516
-0.018,0.0729796,0.0548818
-0.06725,0.158372,-0.00816349
0.03275,0.0696699,0.0402888
-0.04875,0.104932,0.0400692
-0.004,0.107295,0.0440127
-0.054,0.0945792,0.0440023
-0.056,0.0889957,0.0448886
0.032,0.0943619,0.0409486
-0.05775,0.136043,0.0342222
-0.03175,0.171971,-0.00414486
-0.001,0.0774134,0.0583649
-0.004,0.0575833,0.053778
-0.04425,0.111809,0.0362637
-0.0625,0.0449742,0.0108794
-0.04325,0.0909526,0.0427267
-0.06575,0.137763,0.0423465
-0.057,0.157833,0.007784
-0.0865,0.123038,0.0484563
-0.02825,0.0856508,0.0470475
-0.03825,0.0966103,0.0427318
-0.024,0.0854524,0.0543019
0.02425,0.0843491,0.0483098
-0.04375,0.0540996,0.0390071
-0.04925,0.110466,0.0376601
-0.00275,0.0794653,0.0580079
0.001,0.0489384,0.0512623
0.008,0.112737,0.0402045
0.015,0.0936056,0.0504758
-0.015,0.0405238,0.0515282
0.04675,0.0440413,0.0234281
-0.03525,0.0994307,0.0426072
0.01675,0.117473,0.0357627
-0.088,0.145334,0.0323022
-0.04375,0.146748,0.00439984
-0.02725,0.176493,-0.00807239
-0.048,0.14909,0.010079
-0.0145,0.103008,0.0432462
-0.0165,0.100222,0.0438797
-0.0085,0.0842754,0.0574152
-0.00675,0.11212,0.041856
-0.0725,0.144268,0.044874
0.0215,0.0625905,0.0475123
0.005,0.109996,0.041854
0.02825,0.0404018,0.0300257
-0.04675,0.148319,0.00855644
-0.0715,0.0815798,0.0399183
-0.07625,0.139397,0.0486639
-0.08375,0.105533,0.0265935
-0.03075,0.122621,0.0237015
0.01725,0.0389616,0.0434755
-0.0465,0.115205,0.0332185
-0.058,0.14101,0.0321822
-0.05725,0.0868534,0.0445046
-0.0165,0.0786833,0.0568083
0.02425,0.0730906,0.0475324
-0.0465,0.159325,0.00778155
0.00125,0.119034,0.0385596
0.00225,0.0779895,0.0568073
-0.0705,0.0743004,0.0368624
-0.0565,0.047899,0.0110073
-0.01275,0.109325,0.042489
0.01825,0.120216,0.0336069
0.01275,0.0997961,0.0480766
-0.0525,0.137935,0.0264729
0.02225,0.0899664,0.0484378
-0.07225,0.170391,-0.0288543
-0.0685,0.071368,0.0354638
0.05275,0.0643864,0.0281009
-0.08425,0.118134,0.049052
0.04325,0.0784519,0.0273279
0.035,0.106472,0.0302818
-0.06225,0.0840292,0.0442459
